"Genres","Title","Year","Votes","Rating"
"Comedy,Family","The Wheeler-Dealer",1971,103,7.2
"Documentary","Schindler: The Real Story",1983,240,7.3
"Comedy","The Benny Hill Show",1957,504,7.7
"Action,Adventure,Comedy","Sharpshooters",1938,14,3.8
"Animation,Comedy,Family","Dragon Master",1965,10,6.7
"Western","The Maggie Hamilton Story",1960,41,7.9
"Drama,Romance","The Lion of the Moguls",1924,83,6.5
"Action,Crime,Drama","Death Is a Double-Cross",1971,60,7.8
"Drama","The Magistrate",1959,43,5.9
"Adventure,Animation,Comedy","Ladies' Night at the Lodge",1964,79,7.5
"Comedy,Romance","Charley's Aunt",1941,471,7.1
"Comedy","Kobni susret",1980,29,9.3
"Drama","Svensson ordnar allt!",1938,9,5.1
"Comedy,Drama","The Unfaithfuls",1953,121,6.7
"Adventure,Family","Na pytlacke stezce",1979,103,6.2
"Comedy","Frozen Passion",1958,15,8.7
"Comedy","That's Your Funeral",1972,133,4.7
"Short","Rough for Theatre I",2000,84,7.5
"Horror,Mystery,Romance","My World Dies Screaming",1958,497,5.3
"Adventure,Comedy,Romance","He Comes Up Smiling",1918,41,6.1
"Drama,Romance","Sebastian",1968,484,6.3
"Family,Sci-Fi","Bobby's Comet: Chapter II",1954,7,6.3
"Comedy,Western","Wild and Wooly",1978,28,7.6
"Crime,Drama,Mystery","Too Many Victims",1970,25,7.2
"Adventure,Animation,Comedy","The Ruby of Hamistan",1961,9,6.1
"Comedy","El cuerpazo del delito",1970,24,6.5
"Animation,Comedy,Family","Two for Tee Vee/Home Flea/West of the Pesos",1961,17,7.4
"Western","Awkward Hands",1970,52,6.0
"Comedy","Mi adorado Juan",1950,40,7.0
"Short","Speech: Using Your Voice",1950,144,2.1
"Documentary","Gunsmoke Blues",2004,9,8.1
"Animation,Short","Little Boa Peep",1974,11,4.8
"Animation,Family,Sci-Fi","Mikrobi",1975,115,7.2
"Drama,Short","The Irish Boy",1910,9,2.3
"Drama,Romance","Heart o' the Hills",1919,500,5.7
"Comedy,Musical","Louisiana Purchase",1941,391,6.1
"Documentary,Short","Smích a plác",1898,91,4.3
"Drama","Cudo",1971,23,7.6
"Action,Animation,Comedy","Poubelle story",2001,10,6.2
"Comedy,Drama,Romance","Always Goodbye",1938,352,6.8
"Action,Crime,Drama","Testimony of Evil",1961,42,7.6
"Thriller","Tomorrow at Ten",1963,227,6.9
"Comedy,Romance","The Gripsholm Castle",1963,65,6.7
"Drama,Fantasy,Horror","What's in the Box",1964,1029,7.3
"Adventure,Drama,Family","Day of the Daleks: Episode Four",1972,247,8.0
"Comedy,Short","Ship Ahoy",1919,6,7.7
"Western","My Brother's Keeper",1971,62,8.1
"Documentary","Last Bus Stop",2007,12,8.1
"Drama","Lad: A Dog",1962,81,7.2
"Comedy","Die Frau des Fotografen oder Die große Liebe",1967,5,9.8
"Romance,Short","The Mender of Nets",1912,166,6.2
"Adventure,Family,Sport","Paragon, gola!",1970,53,6.4
"Comedy","Tipping the Scales",1985,9,7.2
"Western","The Son",1961,21,7.9
"Action,Crime,Drama","Scarface",1932,23587,7.8
"Comedy,Musical","...und du, mein Schatz, bleibst hier",1961,26,6.1
"Comedy","Seeing Is Believing",1953,9,8.2
"Action,Adventure,Crime","The Relaxed Informer",1961,44,7.2
"Western","Headed for Doomsday",1966,10,8.1
"Comedy,Romance","Breakfast at Sunrise",1927,17,7.6
"Crime,Drama","Die Postanweisung",1968,9,7.3
"Short,Western","Oklahoma Outlaws",1943,71,5.7
"Comedy,Family","Men Are Men",1957,6,8.0
"Romance","Appointment with Life",1954,45,6.7
"Mystery","Computer Ballade",1970,5,6.4
"Animation,Short","Cirrhosis of the Louvre",1966,50,6.6
"Comedy,Drama","High Green Wall",1954,14,7.7
"Animation,Comedy,Family","Past Perfumance",1955,218,7.1
"Western","The Trial",1969,11,7.2
"Comedy","7 1/4: Part 2",1968,14,5.9
"Crime,Drama","A Circle of Strangers",1964,5,6.6
"Drama,Romance","Episode #1.32",1965,5,2.0
"Drama","A Family Secret",1973,50,8.1
"Crime,Drama,Romance","Silence",1926,10,5.3
"Drama,Short","Service with the Colors",1940,144,5.4
"Comedy","Bobbikins",1959,126,5.1
"Drama","Road to Paradise",1930,122,5.9
"Drama","A Big Girl Like You",2003,112,6.3
"Drama","L'autre",1930,7,6.0
"Animation,Short","Circus Daze",1937,25,4.3
"Crime","Die Erpressung",2000,13,7.2
"Drama,Fantasy,Horror","From Agnes - with Love",1964,942,6.5
"Crime","Sonata facile",1965,11,9.5
"Crime,Drama","Bitte recht freundlich, es wird geschossen",1969,9,7.6
"Comedy","The Lovers Arrive",1956,341,7.3
"Comedy,Mystery","Who Is Guilty?",1939,7,6.0
"Animation,Comedy,Family","Poor Elmer",1938,9,6.4
"War","Razgrom Yudenicha",1941,8,4.2
"Crime,Documentary","Family Ties",2009,43,7.8
"Comedy","The Illiterate One",1961,483,7.1
"Drama,Romance","Reaching from Heaven",1948,6,6.0
"Drama","Who Pays?",1915,15,6.8
"Adventure,Drama,War","The Frogmen",1951,1010,6.5
"Western","The Prophet",1960,50,7.2
"Comedy,Musical","Diplopennies",1966,470,5.7
"Comedy","Help, My Bride Steals",1964,32,5.8
"Comedy,Family,Sci-Fi","Three to Make Ready",1964,20,8.0
"Drama","Dubois et fils",1961,7,6.6
"Comedy","Enas gabros, polla elafrys",1972,7,4.4
"Mystery","Rendezvous at Midnight",1935,17,5.2
"Drama","Poor Little Peppina",1916,49,6.4
"Comedy,Family","Bilko the Marriage Broker",1957,15,7.7
"Comedy","Put It in the Bank",1961,38,7.6
"Comedy,Fantasy","A Piece of Cake",1948,33,5.6
"Crime","Blow, Gabriella",1960,6,8.2
"Drama,Sport","The Hustler",1961,71809,8.0
"Action,Music,Western","Song of Arizona",1946,109,5.6
"Comedy,Musical,Romance","The Tender Trap",1955,2156,6.4
"Animation,Fantasy,Musical","Invitation to the Dance",1956,734,6.3
"Crime","The Tiger Woman",1945,33,6.9
"Comedy,Family","Rick Grades a Test",1961,5,8.0
"Comedy","Hate Thy Neighbor",1989,33,7.5
"Adventure","Pirates of Tripoli",1955,118,4.7
"Drama","The Man Who Had His Hair Cut Short",1966,720,6.9
"Western","Trail's End",1969,12,8.2
"Comedy","Just a Miss Understanding",1972,9,6.0
"Drama","Liliom",1971,6,7.2
"Comedy","A Charmed Life",1981,29,7.3
"Comedy,Short","What, No Cigarettes?",1945,28,5.7
"Action,Crime,Drama","No Pockets in a Shroud",1971,51,7.7
"Action,Adventure","Diplomatic Pouch",1960,9,7.9
"Action,Sci-Fi,Thriller","Trust Issues",2007,180,5.9
"Drama","Der König der Bernina",1957,18,4.8
"Action,Adventure,Crime","Lady in Black",1954,78,7.5
"Comedy,Romance","Micki + Maude",1984,2547,6.0
"Drama","Lupeni 29",1963,14,6.0
"Adventure,Crime,Mystery","Murder on Approval",1955,108,5.7
"Comedy,Short","Mr. Smith Wakes Up",1929,8,7.1
"Comedy,Musical,Romance","Somewhat Secret",1939,76,6.2
"Action,Adventure,Comedy","ZsaZsa Zaturnnah Ze Moveeh",2006,96,6.2
"Comedy","Lucy and the Countess Have a Horse Guest",1965,24,7.2
"Drama,Short","Evermore",2013,13,7.5
"Biography,Documentary","Be Sure You Win",1961,21,9.4
"Western","Wildfire",1945,76,5.9
"Drama,Fantasy,Horror","Episode #1.323",1967,29,7.4
"Documentary","Necessary Evil: Super-Villains of DC Comics",2013,1031,6.9
"Comedy,Short","His Musical Sneeze",1919,10,7.2
"Comedy,Short","A Hit with a Miss",1945,31,6.9
"Western","Journey for Three",1964,79,7.6
"Drama","The Bastard",1954,8,7.6
"Drama","The Fixer",1968,1116,6.8
"Drama","Forgotten Women",1949,6,6.3
"Comedy","Los presuntos",1986,15,4.4
"Adventure","Mizu no tabibito: Samurai kizzu",1993,28,6.2
"Thriller","Der Fluch der gelben Schlange",1963,175,5.2
"Action,Adventure,Comedy","Kokusai himitsu keisatsu: Kayaku no taru",1964,9,5.6
"Action,Crime,Drama","Pen Pals",1959,5,8.0
"Adventure,Sci-Fi","The Village of Guilt",1964,56,7.4
"Action,Crime,Drama","The Best Laid Schemes",1967,67,7.1
"Comedy,Family,Fantasy","Your Witch Is Showing",1965,202,5.7
"Comedy","Meet the Parents",1952,8,7.5
"Romance","Muss i denn zum Städtele hinaus",1962,16,3.1
"Comedy,Drama","Son-in-Law",2002,95,7.3
"Comedy","I'll Be Good, Old Man!",1979,92,6.6
"Animation,Short","Skazka o zhadnosti",1976,5,6.2
"Action,Crime,Drama","Missing Witness",1956,37,7.9
"Comedy,Musical,Sport","No Limit",1935,254,6.5
"Western","The Annie Griffith Story",1959,38,8.8
"Animation,Family,Short","Teryokhina taratayka",1985,6,6.7
"Drama,Horror,Mystery","Kaitei kara kita onna",1959,17,6.2
"Comedy,Drama,Romance","Little Mister Jim",1946,84,5.9
"Adventure,Drama","Çocuklar çiçektir: Kuduz",1983,145,7.0
"Comedy,War","The Big Raffle",1963,36,7.6
"Drama","Tarnished Lady",1931,118,6.2
"Crime,Drama,Romance","The Spider and the Fly",1949,199,6.9
"Short","The Doctor's Secret",1910,186,5.6
"Biography,Drama","Gregório de Mattos",2003,28,6.8
"Crime,Drama,Mystery","The Case of the Red Riding Boots",1960,116,8.1
"Adventure,Drama,Family","The Claws of Axos: Episode Three",1971,264,7.2
"Comedy,Family","Marcia Gets Creamed",1973,106,7.4
"Comedy,Romance","I Am Looking for a Man",1966,7,5.1
"Drama","Ladies in Distress",1938,6,7.7
"Adventure,Biography,Drama","The Crisler Story/Prowlers of the Everglades",1957,9,8.1
"Documentary,Short","The Truck Farmer",1954,240,2.0
"Short","Mario Banana II",1964,140,3.7
"Adventure,Drama,Family","Return of the Charm",1967,6,6.5
"Comedy","Svi na more",1952,10,5.3
"Documentary,History","The Center of the World (1946-2003)",2003,23,8.7
"Action,Adventure","The Briefcase",1959,11,7.7
"Action,Adventure,Crime","It Happened Out West",1923,8,6.8
"Adventure,Fantasy,Romance","Sinbad, the Sailor",1947,1699,6.2
"Comedy,Musical","Top Man",1943,40,7.2
"Comedy","Bruna, formosa, cerca superdotato",1973,6,5.5
"Drama,Western","'Mal de amores' (Rogaciano el huapanguero)",1957,8,6.6
"Action,Crime,Thriller","Your Turn to Die",1967,38,6.9
"Adventure,Thriller","Perils of the Secret Service",1917,9,1.0
"Comedy","Sunday Morning",1967,7,7.0
"Crime,Drama","The Case of the Shot in the Dark",1955,7,6.9
"Comedy","The Married Man: Part 1",1979,13,7.7
"Action,Adventure,Crime","Air Eagles",1931,36,4.9
"Drama","Decameron '69",1969,14,5.5
"Comedy,Romance","Bei der blonden Kathrein",1959,52,4.5
"Comedy","The Brontosaurus Caper",1965,23,7.0
"Comedy","91:an Karlsson muckar (tror han)",1959,27,4.1
"Adventure,Drama,History","The Executioner of Venice",1963,141,5.6
"Drama,War","Hotel Imperial",1927,200,6.6
"Animation,Comedy,Family","The Bugs Bunny/Road-Runner Movie",1979,3383,7.3
"Western","A Game of Death... An Act of Love: Part 1",1973,64,7.9
"Music,Short","Prince: The Greatest Romance Ever Sold",1999,26,7.1
"Drama","I'll Be Back",1957,9,6.9
"Animation,Comedy,Family","Goofy Gondoliers",1965,5,6.6
"Comedy,Drama","M'Liss",1918,113,6.5
"Drama","Die Verwandlung",1960,16,8.9
"Drama","Carapa od sto petlji",1971,5,6.6
"Crime,Drama,Mystery","Dora",1970,32,7.8
"Action,Adventure,Crime","The System",1969,103,8.4
"Adventure,Comedy,Drama","The Man from Yesterday/World's Most Desirable Woman",1981,26,7.1
"Documentary","Evidence",1975,14,6.6
"Crime,Drama,Mystery","The Big Lilly",1953,5,7.2
"Comedy","Prisoner and Escort",1973,59,8.1
"Comedy,Crime,Mystery","Charlie Chan at Monte Carlo",1937,1279,7.0
"Mystery","Deadly Record",1959,68,6.1
"Comedy,Short","Unaccustomed As We Are",1929,976,7.1
"Documentary","In Bed with an Elephant",1986,35,7.7
"Documentary,Short","Romantic Argentina",1932,22,6.4
"Drama","Szent Kristóf kápolnája",1983,12,7.2
"Comedy,Music","From Today Until Tomorrow",1997,129,6.8
"Action,Drama,Western","Gunsmoke Ranch",1937,88,6.0
"Comedy","In the Chips",1984,29,7.6
"Comedy,Family","The Hedda Hopper Story",1955,165,8.5
"Crime,Drama,Romance","Shadows of Fear",1928,10,6.3
"Western","Death Valley Outlaws",1941,18,6.3
"Drama","Leaded Sky over Borsk",1961,55,6.0
"Drama,Romance,Western","Six Black Horses",1962,543,6.6
"Comedy","Gidget's Career",1966,28,7.2
"Comedy","Thummelumsen",1941,22,6.2
"Crime,Drama,Mystery","Amends",1988,20,7.8
"Western","Jim Sonnett's Lady",1969,8,7.4
"Comedy","Cannonball Christmas",1963,48,8.3
"Comedy","Neveroyatna istoriya",1964,71,7.5
"Comedy,Short","Knutzy Knights",1954,213,7.4
"Comedy","Don Chisciotte and Sancio Panza",1968,60,7.1
"Comedy","A Swelled Head",1962,21,6.1
"Crime,Western","Notch Number One",1924,11,4.3
"Crime,Drama,Mystery","Fall of an Angel",1974,18,7.8
"Adventure,Drama,Short","Man's Genesis",1912,59,5.9
"Crime,Drama,Mystery","To the Best of My Recollection",1961,9,7.4
"Action,Crime,Drama","Homecoming",1971,11,6.2
"Drama","Ebberöds bank",1946,12,4.8
"Adventure","A Man's Man",1917,8,6.0
"Animation","Hogyan telt a gyermekkorom?",2007,5,7.8
"Comedy,Short","So You Want to Learn to Dance",1953,30,5.8
"Drama,Fantasy,Horror","The Last Rites of Jeff Myrtlebank",1962,1308,7.3
"Crime,Drama","Wide Boy",1952,50,7.2
"Comedy,Musical","Sziámi macska",1943,38,7.0
"Crime,Mystery,Thriller","The Naked Edge",1961,907,6.7
"Western","Cattle and Cane",1960,16,7.6
"Drama","Ya budu zhdat...",1979,5,6.4
"Action,Adventure,Animation","Give or Take a Million",1966,69,6.4
"Action,Adventure,Drama","La Gerusalemme liberata",1957,63,5.4
"Animation,Comedy,Family","South Pole Pals",1966,19,5.1
"Drama,Romance","The Easiest Way",1931,413,6.2
"Comedy","It's a Mod, Mod World: Part 2",1967,18,6.8
"Documentary","Wonderland",1997,120,7.1
"Comedy","The Health Addict",1962,10,7.5
"Comedy","The Extraordinary Adventures of Mr. West in the Land of the Bolsheviks",1924,829,6.6
"Western","The New Neighbor",1952,13,7.6
"Comedy,Family,Fantasy","Ed and the Secret Service",1963,21,8.0
"Drama","A Cry for Help",1975,71,7.1
"Adventure","Saturnin, le petit canard",1965,32,7.4
"Drama","Dearer Than My Eyes",1955,10,6.2
"Action,Crime,Drama","War of Nerves",1970,33,7.8
"Documentary,Short","Pikakäynnillä Helsingissä",1947,6,6.7
"Drama","I Can Destroy the Sun",1958,5,6.8
"Comedy","I morti non pagano tasse",1952,9,7.0
"Comedy","O Marido Virgem",1974,10,4.2
"Drama","Yesterday's Child",1977,31,7.2
"Crime,Drama,Horror","The Haunted Castle",1921,1281,6.2
"Drama","Fascination",1931,24,5.8
"Comedy","The Used Combination",1969,43,8.2
"Crime","Coronado 9",1960,43,8.4
"Biography,Drama,Music","The Life and Loves of Beethoven",1936,229,6.9
"Adventure,Crime","The Blood of Fu Manchu",1968,1009,4.6
"Adventure","Don Sezar de Bazan",1957,13,6.5
"Animation,Comedy,Family","We Did It",1936,90,5.7
"Comedy,Short","An Interrupted Elopement",1912,27,4.7
"Action,Crime,Drama","The Bunco Artists",1963,82,7.8
"Comedy,Music,Romance","Don't Get Personal",1942,7,5.6
"Crime,Drama","Riffraff",1936,781,6.4
"Action,Drama","Ninja, a Band of Assassins",1962,706,7.0
"Comedy","Exiled to Shanghai",1937,52,5.8
"Western","Little Pistol",1957,23,7.8
"Adventure,Sci-Fi","Appointment in Palermo",1971,10,7.5
"Drama,Romance","Summer with Monika",1953,11302,7.6
"Drama,Mystery,Thriller","Suspicion",1949,8,5.5
"Animation,Comedy,Family","Pluto's Surprise Package",1949,176,6.2
"Adventure","Isle of Fury",1936,450,5.6
"Drama","Berta Garlan",1966,5,9.4
"Comedy,Short","Mrs. Jones' Lover; or, 'I Want My Hat'",1909,8,4.0
"Comedy,Family","The Beeping Rock",1970,32,7.2
"Drama,Music,Romance","Mariandl",1961,97,6.2
"Drama,Thriller,War","Man Hunt",1941,4497,7.3
"Drama","The Tunnel",1952,26,6.4
"Comedy,Family","Ritzik Goes Civilian",1959,11,8.2
"Western","Blood Tie",1968,49,8.1
"Drama,Fantasy","The Water Spider",1970,39,6.3
"Short","The Attempt Against the Life of Maitre Labori",1899,175,5.4
"Western","Out of the Valley of Death",1968,17,8.2
"Animation,Drama,Short","Mama dlya mamontyonka",1981,902,7.9
"Comedy","Temptation in the Summer Wind",1972,18,7.6
"Action,Drama,Romance","Bill Cracks Down",1937,66,5.7
"Drama","Sevenler kavusurmus",1971,13,5.8
"Documentary,Short","Valiant Venezuela",1939,11,6.8
"Comedy","Come Back All Is Forgiven",1978,90,8.1
"Action,Adventure,Crime","The Battle of the Cameras",1964,65,7.3
"Drama,Romance","My Woman",1933,90,6.5
"Action,Drama,War","Last Train to Berlin",1970,27,4.0
"Comedy,Musical,Romance","Gentlemen Prefer Blondes",1953,28920,7.2
"Action,Animation,Comedy","Sedmoy vypusk",1973,102,8.1
"Comedy,Music,Western","Song of Texas",1943,114,6.4
"Comedy","Valentin the Good",1942,75,7.5
"Comedy,Short","Fish",1916,20,5.7
"Animation,Comedy,Family","There's Good Boos To-Night",1948,234,6.8
"Drama,Western","El rayo justiciero",1955,6,4.8
"Drama","Wuthering Heights",1950,32,6.6
"Comedy,Musical","Look Up and Laugh",1935,84,7.3
"Adventure","Narcissus on an Old Red Fire Engine",1963,34,7.3
"Crime,Drama","Love's Boomerang",1922,22,6.8
"Comedy","The Grass Is Always Greener",1983,14,7.1
"Comedy","Som hon bäddar får han ligga",1970,36,4.8
"Comedy","Reading Between the Lines",1986,5,7.2
"Fantasy,Sci-Fi,Thriller","Mothra",1961,3298,6.6
"Documentary,Short","The Photographer",1948,16,7.7
"Animation,Comedy,Family","Popeye and the Spinach Stalk",1960,34,7.2
"Drama","Behold My Wife!",1934,90,6.2
"Drama,War","Leningrad Symphony",1957,22,7.3
"Comedy,Short","Bachelor Blues",1948,6,6.7
"Animation,Comedy,Family","The Tangled Angler",1941,23,5.8
"Drama","Larmet går",1994,8,6.8
"Drama","U mrezi",1972,12,9.0
"Comedy,War","Operation Mad Ball",1957,818,6.6
"Documentary","Beyond Limits",2010,20,6.5
"Action,Drama,Film-Noir","Road House",1948,2146,7.3
"Drama,Short","Pippa Passes; or, The Song of Conscience",1909,65,5.5
"Comedy,Romance","Her First Beau",1941,8,5.2
"Musical","The Cool Mikado",1963,45,3.5
"Comedy","Ladies' Night in a Turkish Bath",1928,24,7.2
"Comedy","La signora gioca bene a scopa?",1974,102,5.2
"History,Western","The Conquering Horde",1931,28,6.5
"Comedy","Destination Piovarolo",1955,261,7.0
"Documentary","The Journey Begins",1980,12,7.8
"Comedy","Holiday of St. Jorgen",1930,177,7.1
"Comedy,Romance","Agazet gharam",1967,21,5.6
"Comedy","Please Teacher",1937,24,6.7
"Musical","Wonderful Town",1958,53,8.8
"Western","The Marker",1961,9,7.6
"Comedy","A Florida Enchantment",1914,182,5.9
"Adult","Internal Affairs",1995,13,6.3
"Drama","Le joueur",1958,133,6.1
"Drama,Romance","Ryan's Daughter",1970,8100,7.4
"Crime","Den magiska cirkeln",1970,6,8.0
"Action,Adventure,Crime","West Bound Limited",1937,23,6.8
"Action,Adventure,Comedy","The Rider of the Law",1935,48,5.5
"Drama","Tel Aviv-Los Angeles",1988,15,5.3
"Crime,Drama,Mystery","The Boss of Big Town",1942,78,5.4
"Adventure,Romance","Extra! Extra!",1922,9,5.1
"Drama,Romance","Age of Indiscretion",1935,119,6.4
"Drama","Ek Thi Larki",1949,17,6.8
"Crime,Drama,Film-Noir","Blonde Ice",1948,810,6.1
"Documentary","Képek a magyar némafilm történetéböl",1964,5,7.0
"Drama,Romance","Isten és ember elött",1968,6,6.8
"Action,Crime,Drama","Hostage Officer",1958,15,7.8
"Drama","Boardwalk",1979,95,6.9
"Animation,Comedy,Family","Mobile Home",1989,9,6.7
"Drama","Like Night and Day",1969,33,5.2
"Western","The Choice",1960,61,8.0
"Comedy,Documentary,Short","MGM 1935 Promo Reel",1935,9,5.7
"Western","Water Bringer",1966,14,7.9
"Comedy","Coche cama alojamiento",1968,6,8.8
"Drama,Romance","Lady of the Tropics",1939,469,6.2
"Drama,Musical,Romance","Mujeres en mi vida",1950,8,3.6
"Crime,Drama","Episode #1.615",1986,7,7.6
"Drama","Millionaire Tom Hampton",1959,8,7.8
"Adventure,Drama,History","Sodom and Gomorrah",1962,1375,5.7
"Documentary,Music","Freakbeat",2011,16,6.6
"Action,Adventure,Crime","Midnight Secrets",1924,11,1.5
"Animation,Comedy,Short","Tree for Two",1943,19,5.9
"Drama,Sci-Fi","Sound of Murder",1956,18,7.4
"Crime,Drama,Mystery","Juke Girl",1942,350,6.2
"Comedy","Wise Girl",1937,628,6.5
"Comedy","Black and White",1931,80,5.7
"Drama,Family","Heidi",1968,529,6.6
"Drama","The Flying Circus",1912,76,6.4
"Action,Adventure","Tarzan's Greatest Adventure",1959,1083,6.6
"Comedy","El grano de mostaza",1962,56,7.0
"Crime,Documentary","Whodunit",2001,47,7.0
"Drama","João Ratão",1940,50,6.2
"Action,Animation,Family","Return of the Mole Man",1967,16,7.0
"Music,Western","Vengeance of the West",1942,8,6.2
"Drama","Putnici sa Splendida",1956,10,4.9
"Family","Kidnapped",1935,16,5.5
"Biography,Drama,Romance","The Stratton Story",1949,2474,7.1
"War","Soldati fara uniforma",1961,10,6.5
"Crime,Drama,Film-Noir","Death of a Scoundrel",1956,753,6.9
"Drama,Music,Romance","Repentance",1959,11,4.5
"Documentary","UFO: Top Secret",1978,17,3.3
"Action,Crime,Drama","The Night of the Following Day",1969,1790,6.1
"Comedy,Family,Fantasy","Birdies, Bogies and Baxter",1967,167,5.2
"Action,Drama,Sport","The Lusty Men",1952,2269,7.4
"Crime,Drama","Fragment of a Murder",1960,17,7.9
"Drama,Romance","...ja Helena soittaa",1951,38,5.1
"Comedy","Escapada",1983,8,7.4
"Comedy","Adieu les beaux jours",1933,11,6.4
"Crime,Drama","Kristinus Bergman",1948,19,7.3
"Comedy","Ischia operazione amore",1966,14,5.4
"Western","Desperate Trails",1921,27,4.2
"Western","The Unwanted",1969,38,7.6
"Comedy","Dami kanyat",1980,700,8.0
"Biography,Drama","Goodbye, Norma Jean",1976,244,2.9
"Drama","Winter Night's Dream",1935,15,6.9
"Drama,Romance","I Loved a Bum",1971,10,2.6
"Comedy","La mégère apprivoisée",1964,8,8.6
"Animation,Family,Western","The Lone Ranger",1966,93,7.9
"Romance,Short","The Magician's Daughter",1938,54,6.1
"Comedy,Musical","Molly and Me",1945,366,6.9
"Comedy","Baby's Laxative",1931,287,6.1
"Horror,Thriller","Blood Song",1982,398,5.0
"Animation,Comedy,Short","Jerky Turkey",1945,426,6.9
"Drama","Barabbas",1953,66,7.0
"Comedy","Uncle",1972,8,7.9
"Comedy","Sedm hladových",1988,20,5.7
"Comedy","Octavius and Me",1962,7,9.3
"Drama","Der Edelweißkönig",1957,22,4.1
"Comedy","Double Take",1972,75,4.4
"Drama,Romance","Hélène",1936,6,7.2
"Comedy,Drama","The Dick Powell Theatre",1961,125,7.5
"Comedy","Kun toimeen tartutaan",1982,13,7.2
"Comedy,Romance","Dekh Kabira Roya",1957,28,7.4
"Drama,Romance","Akitsu Springs",1962,1007,7.5
"Comedy,Thriller","Es muß nicht immer Kaviar sein",1961,149,6.5
"Crime,Drama","A Lonely Way to Die",1976,5,7.4
"Crime,Drama","Sympathy for the Underdog",1971,739,7.4
"Comedy,Musical","¿Dónde estará mi niño?",1981,39,4.2
"Western","A Passion for Justice",1963,62,7.1
"Adventure,Comedy,Drama","Pilot",1977,288,6.8
"Crime,Film-Noir,Thriller","Night Court",1932,325,7.0
"Documentary","Gunfighters of the Old West",1992,25,7.1
"Drama,Romance","Break of Hearts",1935,414,5.9
"Drama","Mumu",1959,17,7.2
"Action,Adventure,Romance","The Speed Classic",1928,9,6.0
"Animation,Comedy,Family","A Taste of Catnip",1966,102,6.1
"Comedy","O... erastis!!!",1990,44,5.0
"Comedy","The Princess",1972,40,8.2
"Comedy","Episode #5.10",1990,6,8.2
"Comedy","Chrissy's Date",1977,105,7.4
"Comedy,Short","Maid in Hollywood",1934,59,6.7
"Comedy,Crime,Drama","I'll Name the Murderer",1936,101,5.6
"Drama,Short","The Cry of the Children",1912,230,6.1
"Western","Baker's Dozen",1967,78,8.2
"Drama","La culta dama",1957,7,7.4
"Adventure,Family,Fantasy","Whaddya Mean the Horse Gets the Girl?",1969,15,7.5
"Comedy,Drama","Johnny Get Your Gun",1919,20,6.8
"Drama,Romance","The St. Louis Kid",1934,340,6.6
"Drama","The Plane Makers",1963,19,8.4
"Drama,War","None Shall Escape",1944,591,7.0
"Musical,Romance","Two Girls on Broadway",1940,312,6.0
"Action,Adventure,Crime","Jungle Goddess",1948,593,2.0
